Angle,Period,BeamSigmaX,BeamSigmaY,Mean,Std,Background,Peak
90.0,292.0,217.1817520513042,196.70230914544572,0.08682497,0.16161902,0.0,0.72619045
90.0,290.5,210.7495820657084,196.26606494113378,0.07428424,0.14571148,0.0,0.6969697
94.23639479905881,600.0,202.3889419713739,196.0923914057828,0.08155605,0.16114533,0.0,0.7582418
94.39870535499551,601.0,201.97319707405262,196.1388004747756,0.07815851,0.15470876,0.0,0.7263158
94.57392125990086,642.5,201.61502415818725,196.13959688686256,0.07816081,0.15495044,0.0,0.7263158
92.29061004263852,6.0,201.4597397440135,196.17217970219153,0.07901564,0.15689352,0.0,0.7340425
92.29061004263852,5.5,201.62972216098092,196.20083554167812,0.078235246,0.15537506,0.0,0.7263158
92.20259816176579,,201.80254397325632,196.21651297926263,0.07584718,0.1507109,0.0,0.71428573
92.0454084888872,2.0,202.8424314975375,196.1804964489283,0.07433879,0.14721926,0.0,0.7
91.90915243299636,,204.09825131346926,196.11640940146486,0.07907932,0.15598562,0.0,0.7340425
91.8476102659946,326.0,205.08276412033206,196.07376389060767,0.07137685,0.14048176,0.0,0.65384614
91.73570458892837,646.0,206.22429948936013,196.06588167831566,0.0765303,0.15027307,0.0,0.7113402
90.0,159.5,210.83511191120147,196.2927646177535,0.06808092,0.13398367,0.0,0.6388889
91.73570458892837,,206.56894204655333,196.13516814331325,0.07138111,0.14025496,0.0,0.65384614
91.63657704161673,8.0,207.99230039575872,196.03363660511866,0.071358696,0.1398231,0.0,0.65384614
91.63657704161673,,208.61406756498167,196.03188338856978,0.069925345,0.13695852,0.0,0.6415094
91.59114027119458,620.0,208.96323207479807,196.15399513351775,0.07178424,0.14015616,0.0,0.65686274
91.54815769897795,310.0,209.76276957002798,196.06507881361065,0.06866498,0.13473403,0.0,0.6296296
90.0,6.5,210.40633651406387,196.01829972065588,0.06868947,0.13483177,0.0,0.6388889
90.0,8.0,211.86283887460365,195.88411016574315,0.068112455,0.13349618,0.0,0.6330275
90.0,291.0,212.12345677296295,196.11040864899533,0.06993145,0.1369258,0.0,0.6509434
90.0,8.0,211.91512582205337,195.98457401965268,0.068048395,0.13351095,0.0,0.6330275
90.0,8.0,211.71704133144738,195.9356343740304,0.06684314,0.13164027,0.0,0.6306306
90.0,295.5,210.40860952437046,196.31147744715247,0.07669604,0.14878845,0.0,0.6979167
90.0,7.0,211.66685965451512,196.3773766533702,0.07558679,0.1480355,0.0,0.70408165
90.0,9.0,211.44891434387608,196.11637629032595,0.06805228,0.13426681,0.0,0.64220184
90.0,,211.3280208003298,195.99416328538769,0.06683418,0.131974,0.0,0.6306306
